央视频道,#genre#
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰中文,http://113.117.74.47:8081/hls/37/index.m3u8
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰资讯,http://php.17186.eu.org/phtv/fhzx.m3u8
凤凰资讯,http://113.117.74.47:8081/hls/36/index.m3u8
翡翠台,http://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
翡翠台,http://dnfile.iot-cas.com/yifa169169/xingying/hls.m3u8
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://r.jdshipin.com/62WM7

卫视频道,#genre#
湖南卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.46:5146
湖南卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.29:5146
湖南卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.5:5146
湖南卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.129:5146
湖南卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.88:5146
湖南卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.127:5146
浙江卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.47:5146
浙江卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.32:5146
浙江卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.33:5146
浙江卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.150:5146
浙江卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.89:5146
浙江卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.125:5146
江苏卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.48:5146
江苏卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.40:5146
江苏卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.18:5146
江苏卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.149:5146
江苏卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.90:5146
江苏卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.126:5146
东方卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.49:5146
东方卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.48:5146
东方卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.218:5146
东方卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.156:5146
东方卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.98:5146
安徽卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.50:5146
安徽卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.13:5146
安徽卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.92:5146
安徽卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.157:5146
安徽卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.183:5146
北京卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.51:5146
北京卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.14:5146
北京卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.4:5146
北京卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.151:5146
北京卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.91:5146
天津卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.52:5146
天津卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.37:5146
天津卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.141:5146
天津卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.182:5146
天津卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.97:5146
天津卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.131:5146
山东卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.53:5146
山东卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.66:5146
山东卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.142:5146
山东卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.153:5146
山东卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.94:5146
山东卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.132:5146
江西卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.54:5146
江西卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.73:5146
江西卫视,http://sxd.nyxg.vip:40000/udp/239.77.1.219:5146
江西卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.149:5146
